Project Name,Project Slug,Repo URL,Area,Epic,Task ID,Task Name,Description,User Value,Current State,Gap / Risk,Priority,MVP Required,Effort,Dependencies,Suggested Codex Prompt,Definition of Done,Acceptance Tests,Files Likely Affected,Status,Owner,Target Milestone,Notes,Source,Last Updated
EvalOps Copilot,evalops-copilot,https://github.com/rory-hayes/EvalOps,Product,Product alignment,EO-P0-001,Decide canonical product surface,"Decide whether this repo should ship EvalOps Copilot, Evaller, or Evaller as a sub-flow inside EvalOps. Record the decision and route implications.",Prevents wasted implementation on the wrong product.,Docs say EvalOps. Active UI says Evaller.,"Continued drift across docs, UI, tests, and data model.",P0,Yes,S,Founder/product decision,"Review prompt.md, docs/PRODUCT.md, active routes, and README.md. Produce a short decision record that chooses the canonical product surface and lists exact routes/nav labels to keep or change.",Decision record exists and ROADMAP.md reflects the chosen direction.,"Product owner can answer which routes should exist and what brand appears in metadata, nav, and landing copy.","docs/PRODUCT.md, docs/ARCHITECTURE.md, README.md, ROADMAP.md",Ready,Unassigned,MVP Stabilization,Human input likely required.,Product Assumption,2026-05-09
EvalOps Copilot,evalops-copilot,https://github.com/rory-hayes/EvalOps,QA,E2E recovery,EO-P0-002,Repair Playwright route and copy contract,Update app behavior or tests after the product decision so Playwright validates the intended app.,Restores CI trust and catches regressions.,npm run test:e2e has 4 failures.,Red CI blocks serious continued development.,P0,Yes,M,EO-P0-001,Fix the Playwright E2E failures by aligning tests and app route behavior with the canonical product decision. Do not weaken assertions. Run npm run test:e2e and document any remaining failure.,Browser E2E passes or remaining failures are explicitly blocked by external credentials.,npm run test:e2e passes locally.,"tests/e2e, src/app/*/page.tsx, src/components/evaller/evaller-app.tsx, src/components/app-shell.tsx",Ready,Unassigned,MVP Stabilization,Current failures documented in docs/QA_CHECKLIST.md.,Runtime Test,2026-05-09
EvalOps Copilot,evalops-copilot,https://github.com/rory-hayes/EvalOps,Product UI,MVP pages,EO-P0-003,Restore required EvalOps pages,"Make Dashboard, Projects, Trace Import, Eval Builder, Graders, Prompt Optimizer, Routing & Caching, Reports, and Settings usable as distinct screens if EvalOps remains the target.",Users can complete the advertised Eval Debt Audit workflow.,"Broad UI exists in WorkspaceApp, but routes redirect to /workspace.",MVP pages appear to exist in build output but are not actually exposed as intended workflows.,P0,Yes,L,EO-P0-001,Wire the required EvalOps MVP pages to the existing broad WorkspaceApp or refactor equivalent route components. Preserve active functionality and do not delete Evaller code.,Each required route renders a meaningful screen with shared navigation and project context.,Navigate to each required route and verify the expected page header and primary actions render.,"src/app/dashboard/page.tsx, src/app/projects/page.tsx, src/app/trace-import/page.tsx, src/app/eval-builder/page.tsx, src/app/graders/page.tsx, src/app/prompt-optimizer/page.tsx, src/app/routing-caching/page.tsx, src/app/reports/page.tsx, src/app/settings/page.tsx, src/components/workspace-app.tsx, src/lib/navigation.ts",Backlog,Unassigned,MVP Stabilization,Depends on product decision.,Code Audit,2026-05-09
EvalOps Copilot,evalops-copilot,https://github.com/rory-hayes/EvalOps,Navigation,App shell,EO-P0-004,Rebuild project switcher and left nav,Ensure authenticated navigation matches required MVP screens and includes a clear project switcher.,Users know where they are and can move through the audit.,"Active nav has Workspace, Runs, Templates, Settings only. Legacy project selection exists in inactive UI.",Confusing route model and hidden project flows.,P0,Yes,M,EO-P0-003,Update the authenticated app shell so it exposes the canonical MVP navigation and project switcher. Use existing styles and preserve mobile behavior.,Nav and project switcher work on desktop and mobile.,"Playwright verifies route links, active states, and project selection persistence.","src/components/app-shell.tsx, src/lib/navigation.ts, src/lib/project-selection.ts, src/components/workspace-app.tsx",Backlog,Unassigned,MVP Stabilization,Keep navigation calm and compact.,Code Audit,2026-05-09
EvalOps Copilot,evalops-copilot,https://github.com/rory-hayes/EvalOps,Data,Model consolidation,EO-P0-005,Document and consolidate EvalOps vs Evaller models,"Decide whether Evaller ai_test tables are temporary, a subdomain, or the canonical model. Add migration notes.",Reduces data confusion before real customers.,Both models exist in code and migrations.,"Duplicated concepts make exports, billing, RLS, and reports harder to reason about.",P0,Yes,M,EO-P0-001,"Audit EvalOps and Evaller tables/types, propose a target boundary, and update docs/DATA_MODEL.md with exact ownership and migration implications. Do not drop data.",Data model boundary is documented and future migration tasks are identified.,Type and migration audit shows no unknown core entity ownership.,"docs/DATA_MODEL.md, src/lib/server/types.ts, src/lib/evaller/types.ts, supabase/migrations",Ready,Unassigned,MVP Stabilization,No destructive migration in this task.,Code Audit,2026-05-09
EvalOps Copilot,evalops-copilot,https://github.com/rory-hayes/EvalOps,Runtime,Vendor smoke,EO-P0-006,Configure and run preview production smoke,Set required preview env vars outside the repo and run the smoke script against a preview deployment.,"Confirms real Supabase, OpenAI, Inngest, Storage, billing gates, and isolation work.",Smoke script exists but local audit failed due missing env vars.,Production path may be broken despite local deterministic tests.,P0,Yes,M,EO-P0-002,"With preview credentials configured outside the repo, run npm run smoke:production against the preview URL and record failures with exact root causes and fixes.",Preview smoke passes or has a clear blocker list with owner and remediation.,EVALOPS_BASE_URL=<preview> npm run smoke:production passes.,"scripts/production-smoke.mjs, .github/workflows/production-smoke.yml, docs/QA_CHECKLIST.md",Blocked,Unassigned,Private MVP Production Cutover,Requires secrets and deployment access.,Runtime Test,2026-05-09
EvalOps Copilot,evalops-copilot,https://github.com/rory-hayes/EvalOps,Security,Env readiness,EO-P0-007,Harden env and readiness docs,"Confirm .env.example, readiness checks, and deployment docs include every required env and no secrets.",Operators can configure the app safely.,.env.example updated in this audit.,Drift can break production or leak sensitive config.,P0,Yes,S,EO-P0-006,"Re-audit process.env usage and readiness checks, then update .env.example and docs/ARCHITECTURE.md if any env var is missing or mislabeled.",Env docs match code references and readiness behavior.,rg process.env has matching .env.example entries for app-owned envs.,".env.example, src/lib/server/env.ts, docs/ARCHITECTURE.md, README.md",Ready,Unassigned,Private MVP Production Cutover,Includes command-centre optional vars.,Code Audit,2026-05-09
EvalOps Copilot,evalops-copilot,https://github.com/rory-hayes/EvalOps,Auth,Auth flow,EO-P1-001,Verify Supabase auth and route protection,"Test signup, login, redirects, session refresh, and protected routes with real Supabase preview config.",Customers can access only their workspace.,Auth code and tests exist. Live preview was not verified.,Auth regressions are high-risk for customer data.,P1,Yes,M,EO-P0-006,"Verify Supabase Auth against preview with real test users, including signup, login, route protection, API rejection, and organization selection. Add or update tests for gaps.",Auth flow is verified and documented.,Manual or automated preview auth test passes.,"src/lib/supabase/proxy.ts, src/lib/server/auth.ts, src/app/login, src/app/signup, tests/e2e",Backlog,Unassigned,Private MVP Production Cutover,May require Supabase dashboard settings.,Code Audit,2026-05-09
EvalOps Copilot,evalops-copilot,https://github.com/rory-hayes/EvalOps,Trace import,Audit workflow,EO-P1-002,Verify real trace import pipeline,"Run CSV, JSON, NDJSON, and TXT imports through production-mode Supabase/Inngest/OpenAI processing.",Proves the core Eval Debt Audit input path works.,"Parser, API, Inngest, and OpenAI boundaries exist.",Not verified live in this audit.,P1,Yes,M,"EO-P0-003, EO-P0-006","Exercise the trace import flow with all supported file types in preview and fix any API, storage, Inngest, or UI status issues found.",Each supported file type imports and produces derived artifacts.,Preview test uploads complete and show generated eval cases/report data.,"src/app/api/projects/[projectId]/imports/route.ts, src/lib/workflows/audit-processor.ts, src/lib/domain/trace-processing.ts, src/components/workspace-app.tsx",Backlog,Unassigned,Private MVP Production Cutover,Use fake non-sensitive data.,Code Audit,2026-05-09
EvalOps Copilot,evalops-copilot,https://github.com/rory-hayes/EvalOps,Reports,Export quality,EO-P1-003,Validate exports and report artifacts,"Confirm CSV eval pack, issues CSV, audit CSV/PDF, full project JSON, receipts, and download routes work with real storage.",Customers receive concrete audit deliverables.,Export code and tests exist.,Live storage/export paths not verified.,P1,Yes,M,EO-P1-002,"Verify each export type in preview with a processed project and repair any storage, filename, receipt, or content issues.",Export artifacts download and contain expected project data.,Downloaded files open and match project records without raw secret leakage.,"src/app/api/projects/[projectId]/exports/route.ts, src/app/api/exports/[exportId]/download/route.ts, src/lib/server/audit-report-pdf.tsx, src/lib/server/*store.ts",Backlog,Unassigned,Private MVP Production Cutover,PDF needs visual sanity check.,Code Audit,2026-05-09
